series_id,day,week,consumption
100836,1,0,3697238.631
100836,2,0,3644289.83
100836,3,0,3680885.807
100836,4,0,3542934.392
100836,5,0,3527388.603
100836,6,0,3620691.789
100836,7,0,3644005.298
100836,8,1,3821312.612
100836,9,1,3841661.851
100836,10,1,3715881.773
100836,11,1,3669929.854
100836,12,1,3697153.639
100836,13,1,3507551.269
100836,14,1,3415203.091
100836,15,2,3717862.967
100836,16,2,3793007.761
100836,17,2,3766935.533
100836,18,2,3762891.324
100836,19,2,3722090.198
100836,20,2,3394490.829
100836,21,2,3300492.455
100836,22,3,3687740.025
100836,23,3,3799497.492
100836,24,3,3792817.347
100836,25,3,3786162.435
100836,26,3,3751400.588
100836,27,3,3343345.5
100836,28,3,3239957.64
